ID,Cycle,value,SampleID,Sample,Site,Region,Island,CTUM_cover,Notes,Filtration,Exposure,Method,Depth_m,PlateID,Project,Plate,Threshold,E,Primer
CT1305,19,12613.00245,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,20,15271.90814,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,20,13409.40857,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,20,15359.23676,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,20,14150.89411,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,20,15103.54175,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,20,12645.77216,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,21,15306.34664,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,21,13415.24606,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,21,15376.97969,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,21,14142.46716,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,21,15116.0471,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,21,12651.1358,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,22,15311.53644,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,22,13403.2738,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,22,15366.76989,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,22,14125.152,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,22,15112.09577,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,22,12646.17878,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,23,15306.14133,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,23,13386.22252,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,23,15347.88077,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,23,14098.24012,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,23,15089.69447,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,23,12637.14201,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,24,15286.76139,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,24,13364.80426,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,24,15329.32709,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,24,14078.70404,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,24,15067.99971,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,24,12632.59175,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,25,15272.86727,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,25,13353.23212,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,25,15312.36866,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,25,14052.8279,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,25,15041.378,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,25,12620.56354,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,26,15262.20049,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,26,13347.75198,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,26,15304.70633,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,26,14029.06836,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,26,15023.07505,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,26,12611.17753,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,27,15261.01679,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,27,13341.65834,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,27,15293.23607,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,27,14003.36118,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,27,15001.34556,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,27,12602.6559,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,28,15256.39691,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,28,13329.91314,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,28,15285.00474,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,28,13983.02962,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,28,14978.10524,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,28,12597.64644,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,29,15250.80791,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,29,13318.30863,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,29,15272.65019,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,29,13961.90414,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,29,14956.48985,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,29,12593.50605,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,30,15241.74408,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,30,13308.76977,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,30,15266.54527,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,30,13938.58114,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,30,14938.66313,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,30,12587.19215,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,,,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,,,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,,,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,,,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,,,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,,,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1231,1,-3.138692307,HFB1,,EB,,Control,,Control,Passive,,,,H10,Compare,10,2567,2.03,CT_v1
CT1232,1,-13.38998224,HFB1,,EB,,Control,,Control,Passive,,,,H11,Compare,10,2567,2.03,CT_v1
CT1233,1,1.297011473,HFB1,,EB,,Control,,Control,Passive,,,,H12,Compare,10,2567,2.03,CT_v1
CT1231,2,-3.870109137,HFB1,,EB,,Control,,Control,Passive,,,,H10,Compare,10,2567,2.03,CT_v1
CT1232,2,-5.474161807,HFB1,,EB,,Control,,Control,Passive,,,,H11,Compare,10,2567,2.03,CT_v1
CT1233,2,-4.793643446,HFB1,,EB,,Control,,Control,Passive,,,,H12,Compare,10,2567,2.03,CT_v1
CT1231,3,-2.865234043,HFB1,,EB,,Control,,Control,Passive,,,,H10,Compare,10,2567,2.03,CT_v1
CT1232,3,-5.499969225,HFB1,,EB,,Control,,Control,Passive,,,,H11,Compare,10,2567,2.03,CT_v1
CT1233,3,-6.242291348,HFB1,,EB,,Control,,Control,Passive,,,,H12,Compare,10,2567,2.03,CT_v1
CT1231,4,-3.529957284,HFB1,,EB,,Control,,Control,Passive,,,,H10,Compare,10,2567,2.03,CT_v1
CT1232,4,-3.171529972,HFB1,,EB,,Control,,Control,Passive,,,,H11,Compare,10,2567,2.03,CT_v1
CT1233,4,-2.405342426,HFB1,,EB,,Control,,Control,Passive,,,,H12,Compare,10,2567,2.03,CT_v1
CT1231,5,-8.244881696,HFB1,,EB,,Control,,Control,Passive,,,,H10,Compare,10,2567,2.03,CT_v1
CT1232,5,-3.526309349,HFB1,,EB,,Control,,Control,Passive,,,,H11,Compare,10,2567,2.03,CT_v1
CT1233,5,-2.065995094,HFB1,,EB,,Control,,Control,Passive,,,,H12,Compare,10,2567,2.03,CT_v1
CT1231,6,3.22577931,HFB1,,EB,,Control,,Control,Passive,,,,H10,Compare,10,2567,2.03,CT_v1
CT1232,6,-0.607066125,HFB1,,EB,,Control,,Control,Passive,,,,H11,Compare,10,2567,2.03,CT_v1
CT1233,6,-0.859655348,HFB1,,EB,,Control,,Control,Passive,,,,H12,Compare,10,2567,2.03,CT_v1
CT1231,7,0.008606836,HFB1,,EB,,Control,,Control,Passive,,,,H10,Compare,10,2567,2.03,CT_v1
CT1232,7,-2.67112303,HFB1,,EB,,Control,,Control,Passive,,,,H11,Compare,10,2567,2.03,CT_v1
CT1233,7,2.635729683,HFB1,,EB,,Control,,Control,Passive,,,,H12,Compare,10,2567,2.03,CT_v1
CT1231,8,1.750435467,HFB1,,EB,,Control,,Control,Passive,,,,H10,Compare,10,2567,2.03,CT_v1
CT1232,8,3.995160295,HFB1,,EB,,Control,,Control,Passive,,,,H11,Compare,10,2567,2.03,CT_v1
CT1233,8,-1.351058162,HFB1,,EB,,Control,,Control,Passive,,,,H12,Compare,10,2567,2.03,CT_v1
CT1231,9,-0.808009123,HFB1,,EB,,Control,,Control,Passive,,,,H10,Compare,10,2567,2.03,CT_v1
CT1232,9,5.257923181,HFB1,,EB,,Control,,Control,Passive,,,,H11,Compare,10,2567,2.03,CT_v1
CT1233,9,1.657600154,HFB1,,EB,,Control,,Control,Passive,,,,H12,Compare,10,2567,2.03,CT_v1
CT1231,10,4.615376463,HFB1,,EB,,Control,,Control,Passive,,,,H10,Compare,10,2567,2.03,CT_v1
CT1232,10,5.811699684,HFB1,,EB,,Control,,Control,Passive,,,,H11,Compare,10,2567,2.03,CT_v1
CT1233,10,6.414083125,HFB1,,EB,,Control,,Control,Passive,,,,H12,Compare,10,2567,2.03,CT_v1
CT1231,11,1.872584599,HFB1,,EB,,Control,,Control,Passive,,,,H10,Compare,10,2567,2.03,CT_v1
CT1232,11,-2.603367262,HFB1,,EB,,Control,,Control,Passive,,,,H11,Compare,10,2567,2.03,CT_v1
CT1233,11,9.292309651,HFB1,,EB,,Control,,Control,Passive,,,,H12,Compare,10,2567,2.03,CT_v1
